rep	model	condition	task	regime	edgeprobe	verdict	confidence
1	opus	narrow	t1	NI	HIT	passed	0.92
2	opus	narrow	t1	NI	HIT	passed	0.95
3	opus	narrow	t1	NI	HIT	passed	0.9
4	opus	narrow	t1	NI	HIT	passed	0.97
5	opus	narrow	t1	NI	HIT	passed	0.95
6	opus	narrow	t1	NI	HIT	passed	0.92
7	opus	narrow	t1	NI	HIT	passed	0.92
8	opus	narrow	t1	NI	HIT	passed	0.95
9	opus	narrow	t1	NI	HIT	passed	0.92
10	opus	narrow	t1	NI	HIT	passed	0.92
11	opus	narrow	t1	NI	HIT	passed	0.97
12	opus	narrow	t1	NI	HIT	passed	0.95
13	opus	narrow	t1	NI	HIT	passed	0.95
14	opus	narrow	t1	NI	HIT	passed	0.95
15	opus	narrow	t1	NI	HIT	passed	0.95
1	opus	narrow	t2	NI	HIT	passed	0.72
2	opus	narrow	t2	NI	HIT	passed	0.72
3	opus	narrow	t2	NI	HIT	passed	0.82
4	opus	narrow	t2	NI	HIT	passed	0.83
5	opus	narrow	t2	NI	HIT	passed	0.88
6	opus	narrow	t2	NI	HIT	passed	0.82
7	opus	narrow	t2	NI	HIT	passed	0.75
8	opus	narrow	t2	NI	HIT	passed	0.82
9	opus	narrow	t2	NI	HIT	passed	0.8
10	opus	narrow	t2	NI	HIT	passed	0.85
11	opus	narrow	t2	NI	HIT	passed	0.85
12	opus	narrow	t2	NI	HIT	passed	0.83
13	opus	narrow	t2	NI	HIT	passed	0.82
14	opus	narrow	t2	NI	HIT	passed	0.82
15	opus	narrow	t2	NI	HIT	passed	0.78
1	opus	narrow	t3	NI	MISS	passed	0.95
2	opus	narrow	t3	NI	MISS	passed	0.97
3	opus	narrow	t3	NI	MISS	passed	0.97
4	opus	narrow	t3	NI	MISS	passed	0.95
5	opus	narrow	t3	NI	MISS	passed	0.92
6	opus	narrow	t3	NI	MISS	passed	0.95
7	opus	narrow	t3	NI	MISS	passed	0.95
8	opus	narrow	t3	NI	MISS	passed	0.95
9	opus	narrow	t3	NI	MISS	passed	0.95
10	opus	narrow	t3	NI	MISS	passed	0.95
11	opus	narrow	t3	NI	MISS	passed	0.97
12	opus	narrow	t3	NI	MISS	passed	0.95
13	opus	narrow	t3	NI	MISS	passed	0.95
14	opus	narrow	t3	NI	MISS	passed	0.95
15	opus	narrow	t3	NI	MISS	passed	0.97
1	opus	narrow	t4	NI	HIT	passed	0.9
2	opus	narrow	t4	NI	HIT	passed	0.85
3	opus	narrow	t4	NI	HIT	passed	0.95
4	opus	narrow	t4	NI	HIT	passed	0.9
5	opus	narrow	t4	NI	HIT	passed	0.92
6	opus	narrow	t4	NI	HIT	passed	0.9
7	opus	narrow	t4	NI	HIT	passed	0.95
8	opus	narrow	t4	NI	HIT	passed	0.9
9	opus	narrow	t4	NI	HIT	passed	0.9
10	opus	narrow	t4	NI	HIT	passed	0.95
1	opus	narrow	t5	INF	INF	gaps_found	0.97
2	opus	narrow	t5	INF	INF	gaps_found	0.97
3	opus	narrow	t5	INF	INF	gaps_found	0.97
4	opus	narrow	t5	INF	INF	gaps_found	0.95
5	opus	narrow	t5	INF	INF	gaps_found	0.97
6	opus	narrow	t5	INF	INF	gaps_found	0.97
7	opus	narrow	t5	INF	INF	gaps_found	0.97
8	opus	narrow	t5	INF	INF	gaps_found	0.92
9	opus	narrow	t5	INF	INF	gaps_found	0.95
10	opus	narrow	t5	INF	INF	gaps_found	0.97
1	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.82
2	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.72
3	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.78
4	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.72
5	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.72
6	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.82
7	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.72
8	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.82
9	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.72
10	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.74
11	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.72
12	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.8
13	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.74
14	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.74
15	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.66
1	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
2	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.8
3	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
4	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.83
5	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
6	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.83
7	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.9
8	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
9	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
10	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.8
11	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
12	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.83
13	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
14	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.85
15	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.85
1	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.8
2	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.82
3	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.78
4	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.82
5	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.82
6	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.78
7	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.78
8	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.74
9	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.82
10	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.74
1	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.72
2	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.72
3	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.7
4	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.7
5	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.7
6	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.74
7	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.72
8	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.72
9	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.7
10	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.78
1	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.92
2	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
3	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.97
4	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.92
5	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.92
6	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.9
7	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
8	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.88
9	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
10	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.9
1	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
2	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
3	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
4	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.96
5	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
6	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
7	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
8	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
9	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.96
10	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
11	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.96
12	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
