tier	rep	precision	underfire	recall_vibe	recall_mid	recall_senior	phantom	raised
deterministic	-	0.5769230769230769	0.4827586206896552	0.4375	0.4	0.5	11	26
haiku	rep1	0.773	0.414	0.625	0.667	1.000	5	22
haiku	rep2	0.750	0.483	0.500	0.467	0.333	5	20
haiku	rep3	0.864	0.345	0.688	0.667	0.833	3	22
sonnet	rep1	0.833	0.138	0.875	0.867	1.000	5	30
sonnet	rep2	0.833	0.138	0.875	0.867	1.000	5	30
sonnet	rep3	0.833	0.138	0.875	0.867	1.000	5	30
opus	rep1	0.818	0.069	0.938	0.933	1.000	6	33
opus	rep2	0.711	0.069	0.938	0.933	1.000	11	38
opus	rep3	0.703	0.103	0.938	0.933	1.000	11	37
