rep	model	condition	task	regime	edgeprobe	verdict	confidence
1	opus	narrow	t1	NI	HIT	passed	0.97
1	opus	narrow	t2	NI	HIT	passed	0.92
1	opus	narrow	t3	NI	MISS	passed	0.95
1	opus	narrow	t4	NI	HIT	passed	0.97
1	opus	narrow	t5	INF	INF	gaps_found	0.85
1	opus	narrow	t6	NI	MISS	gaps_found	0.6
1	opus	narrow	t7	NI	MISS	passed	0.98
2	opus	narrow	t1	NI	HIT	passed	0.97
2	opus	narrow	t2	NI	HIT	passed	0.9
2	opus	narrow	t3	NI	MISS	passed	0.95
2	opus	narrow	t4	NI	HIT	passed	0.97
2	opus	narrow	t5	INF	INF	gaps_found	0.9
2	opus	narrow	t6	NI	MISS	gaps_found	0.7
2	opus	narrow	t7	NI	MISS	passed	0.98
3	opus	narrow	t1	NI	HIT	passed	0.97
3	opus	narrow	t2	NI	HIT	passed	0.95
3	opus	narrow	t3	NI	MISS	passed	0.97
3	opus	narrow	t4	NI	HIT	passed	0.97
3	opus	narrow	t5	INF	INF	gaps_found	0.85
3	opus	narrow	t6	NI	MISS	gaps_found	0.6
3	opus	narrow	t7	NI	MISS	passed	0.98
4	opus	narrow	t1	NI	HIT	passed	0.95
4	opus	narrow	t2	NI	HIT	passed	0.9
4	opus	narrow	t3	NI	MISS	passed	0.95
4	opus	narrow	t4	NI	HIT	passed	0.95
4	opus	narrow	t5	INF	INF	gaps_found	0.88
4	opus	narrow	t6	NI	MISS	gaps_found	0.6
4	opus	narrow	t7	NI	MISS	passed	0.97
5	opus	narrow	t1	NI	HIT	passed	0.95
5	opus	narrow	t2	NI	HIT	passed	0.85
5	opus	narrow	t3	NI	MISS	passed	0.95
5	opus	narrow	t4	NI	HIT	passed	0.95
5	opus	narrow	t5	INF	INF	gaps_found	0.8
5	opus	narrow	t6	NI	MISS	gaps_found	0.65
5	opus	narrow	t7	NI	MISS	passed	0.95
1	sonnet	narrow	t1	NI	HIT	passed	0.97
1	sonnet	narrow	t2	NI	HIT	passed	0.90
1	sonnet	narrow	t3	NI	MISS	passed	0.99
1	sonnet	narrow	t4	NI	HIT	gaps_found	0.70
1	sonnet	narrow	t5	INF	INF	gaps_found	0.85
1	sonnet	narrow	t6	NI	MISS	gaps_found	0.90
1	sonnet	narrow	t7	NI	MISS	passed	0.99
2	sonnet	narrow	t1	NI	HIT	passed	0.99
2	sonnet	narrow	t2	NI	HIT	passed	0.95
2	sonnet	narrow	t3	NI	MISS	passed	0.99
2	sonnet	narrow	t4	NI	HIT	passed	0.95
2	sonnet	narrow	t5	INF	INF	gaps_found	0.88
2	sonnet	narrow	t6	NI	MISS	gaps_found	0.92
2	sonnet	narrow	t7	NI	MISS	passed	0.99
