constraint	framing	model	verdict	confidence	caught
c1-io	positive	opus	gaps_found	0.99	1
c1-io	positive	sonnet	gaps_found	0.99	1
c1-io	positive	haiku	gaps_found	0.99	1
c1-io	prohibition	opus	gaps_found	0.99	1
c1-io	prohibition	sonnet	gaps_found	0.99	1
c1-io	prohibition	haiku	gaps_found	0.99	1
c2-red	positive	opus	gaps_found	0.99	1
c2-red	positive	sonnet	gaps_found	0.97	1
c2-red	positive	haiku	gaps_found	0.99	1
c2-red	prohibition	opus	gaps_found	0.99	1
c2-red	prohibition	sonnet	gaps_found	0.99	1
c2-red	prohibition	haiku	gaps_found	0.99	1
c3-monotonic	positive	opus	gaps_found	0.99	1
c3-monotonic	positive	sonnet	gaps_found	0.99	1
c3-monotonic	positive	haiku	gaps_found	0.99	1
c3-monotonic	prohibition	opus	gaps_found	0.99	1
c3-monotonic	prohibition	sonnet	gaps_found	1.0	1
c3-monotonic	prohibition	haiku	gaps_found	0.99	1
