method	task	task_class	inferability	model	hit	n_items	note
edge-probe	02-merge	shape	shape	opus	1	6	adjacency: touching [[1,3],[3,5]]
edge-probe	02-merge	shape	shape	sonnet	1	4	boundary/touching
edge-probe	03-truncate	shape	shape	opus	1	4	encoding: surrogate split
edge-probe	03-truncate	shape	shape	sonnet	1	4	encoding: NFD grapheme
edge-probe	C1-streak	holistic	low	opus	0	6	shape edges only; no prohibition
edge-probe	C1-streak	holistic	low	sonnet	0	6	shape edges only; no prohibition
edge-probe	C2-pricing	holistic	low-med	opus	0	7	money/empty/encoding edges; no dark-pattern prohibition
edge-probe	C3-access	holistic	high	opus	0	3	PARTIAL: raised unknown-role "fail-closed false vs error" as undefined default; did not prescribe deny
edge-probe	C4-logging	holistic	med	opus	0	8	found log-injection (path), NOT secret/PII redaction
edge-probe	C5-ranking	holistic	med	opus	0	6	score/tie/precision edges; no fairness prohibition
edge-probe	C6-deletion	holistic	med	opus	0	4	null-id/idempotency/race; treated delete mechanically, no erasure prohibition
edge-probe	C7-summarize	holistic	med	opus	0	5	length/encoding edges; explicitly punted "quality/values" as non-taxonomy
adversarial	02-merge	shape	shape	opus	1	8	#1 adjacency touching
adversarial	02-merge	shape	shape	sonnet	1	8	#1 touching merge
adversarial	03-truncate	shape	shape	opus	1	5	#1 unicode/surrogate
adversarial	03-truncate	shape	shape	sonnet	1	7	#4 code points
adversarial	C1-streak	holistic	low	opus	1	9	#5 prohibit shaming/guilt/negative streak data
adversarial	C1-streak	holistic	low	sonnet	1	10	#6 shaming/guilt/negative framing forbidden
adversarial	C2-pricing	holistic	low-med	opus	1	9	#3 no fake scarcity/urgency/social-proof/pre-checked add-ons
adversarial	C3-access	holistic	high	opus	1	9	#1 fail closed deny-by-default
adversarial	C4-logging	holistic	med	opus	1	11	#1/#2 redact Authorization/cookies/tokens/PII
adversarial	C5-ranking	holistic	med	opus	1	8	#3 must not use/proxy protected attributes
adversarial	C6-deletion	holistic	med	opus	1	8	#1 erase PII not soft-delete flag (GDPR)
adversarial	C7-summarize	holistic	med	opus	1	8	#1 faithful, no added facts; #5 no opinion/editorializing
three-amigos	02-merge	shape	shape	opus	1	7	#1 touching
three-amigos	02-merge	shape	shape	sonnet	1	5	#1 touching
three-amigos	03-truncate	shape	shape	opus	1	5	#2 code points
three-amigos	03-truncate	shape	shape	sonnet	1	6	#3 no broken surrogate
three-amigos	C1-streak	holistic	low	opus	0	7	message-quality + streak-usage, NOT the guilt/punitive prohibition
three-amigos	C1-streak	holistic	low	sonnet	0	10	message length/quality, NOT the prohibition
three-amigos	C2-pricing	holistic	low-med	opus	1	10	#7 reframe "encourage": no false urgency/scarcity/pressure
three-amigos	C3-access	holistic	high	opus	1	6	#1 default deny / fail closed
three-amigos	C4-logging	holistic	med	opus	1	9	#5 never log Authorization/cookies/bodies; redact PII
