requirement_id	prompt_type	model	resolved	choice	note
r05	open	haiku	1	sorted-by-field	blind open arm
r06	open	haiku	1	stable-input	blind open arm
r07	open	haiku	1	stable-input	blind open arm
r08	open	haiku	1	sorted-by-field	blind open arm
r09	open	haiku	0	hedge	blind open arm
r10	open	haiku	0	hedge	blind open arm
r11	open	haiku	0	hedge	blind open arm
r13	open	haiku	1	sorted-by-field	blind open arm
r15	open	haiku	0	hedge	blind open arm
r17	open	haiku	1	nondeterministic	blind open arm
r18	open	haiku	1	sorted-by-field	blind open arm
r19	open	haiku	0	hedge	blind open arm
r21	open	haiku	0	hedge	blind open arm
r23	open	haiku	0	hedge	blind open arm
r24	open	haiku	1	stable-input	blind open arm
r05	forced	haiku	1	sorted-by-field	blind forced arm
r06	forced	haiku	1	stable-input	blind forced arm
r07	forced	haiku	1	stable-input	blind forced arm
r08	forced	haiku	1	sorted-by-field	blind forced arm
r09	forced	haiku	1	stable-input	blind forced arm
r10	forced	haiku	1	stable-input	blind forced arm
r11	forced	haiku	1	unspecified	blind forced arm
r13	forced	haiku	1	sorted-by-field	blind forced arm
r15	forced	haiku	1	unspecified	blind forced arm
r17	forced	haiku	1	nondeterministic	blind forced arm
r18	forced	haiku	1	sorted-by-field	blind forced arm
r19	forced	haiku	1	unspecified	blind forced arm
r21	forced	haiku	1	sorted-by-field	blind forced arm
r23	forced	haiku	1	stable-input	blind forced arm
r24	forced	haiku	1	stable-input	blind forced arm
r05	open	sonnet	1	sorted-by-field	blind open arm
r06	open	sonnet	1	sorted-by-field	blind open arm
r07	open	sonnet	1	stable-input	blind open arm
r08	open	sonnet	0	hedge	blind open arm
r09	open	sonnet	0	hedge	blind open arm
r10	open	sonnet	0	hedge	blind open arm
r11	open	sonnet	0	hedge	blind open arm
r13	open	sonnet	1	sorted-by-field	blind open arm
r15	open	sonnet	0	hedge	blind open arm
r17	open	sonnet	1	nondeterministic	blind open arm
r18	open	sonnet	1	sorted-by-field	blind open arm
r19	open	sonnet	0	hedge	blind open arm
r21	open	sonnet	0	hedge	blind open arm
r23	open	sonnet	1	stable-input	blind open arm
r24	open	sonnet	0	hedge	blind open arm
r05	forced	sonnet	1	sorted-by-field	blind forced arm
r06	forced	sonnet	1	sorted-by-field	blind forced arm
r07	forced	sonnet	1	stable-input	blind forced arm
r08	forced	sonnet	1	sorted-by-field	blind forced arm
r09	forced	sonnet	1	unspecified	blind forced arm
r10	forced	sonnet	1	stable-input	blind forced arm
r11	forced	sonnet	1	unspecified	blind forced arm
r13	forced	sonnet	1	sorted-by-field	blind forced arm
r15	forced	sonnet	1	unspecified	blind forced arm
r17	forced	sonnet	1	nondeterministic	blind forced arm
r18	forced	sonnet	1	sorted-by-field	blind forced arm
r19	forced	sonnet	1	unspecified	blind forced arm
r21	forced	sonnet	1	sorted-by-field	blind forced arm
r23	forced	sonnet	1	stable-input	blind forced arm
r24	forced	sonnet	1	unspecified	blind forced arm
r05	open	opus	1	sorted-by-field	blind open arm
r06	open	opus	1	sorted-by-field	blind open arm
r07	open	opus	1	stable-input	blind open arm
r08	open	opus	1	sorted-by-field	blind open arm
r09	open	opus	0	hedge	blind open arm
r10	open	opus	0	hedge	blind open arm
r11	open	opus	1	unspecified	blind open arm
r13	open	opus	1	sorted-by-field	blind open arm
r15	open	opus	0	hedge	blind open arm
r17	open	opus	1	nondeterministic	blind open arm
r18	open	opus	1	sorted-by-field	blind open arm
r19	open	opus	1	stable-input	blind open arm
r21	open	opus	0	hedge	blind open arm
r23	open	opus	1	stable-input	blind open arm
r24	open	opus	0	hedge	blind open arm
r05	forced	opus	1	sorted-by-field	blind forced arm
r06	forced	opus	1	sorted-by-field	blind forced arm
r07	forced	opus	1	stable-input	blind forced arm
r08	forced	opus	1	sorted-by-field	blind forced arm
r09	forced	opus	1	stable-input	blind forced arm
r10	forced	opus	1	stable-input	blind forced arm
r11	forced	opus	1	unspecified	blind forced arm
r13	forced	opus	1	sorted-by-field	blind forced arm
r15	forced	opus	1	unspecified	blind forced arm
r17	forced	opus	1	nondeterministic	blind forced arm
r18	forced	opus	1	sorted-by-field	blind forced arm
r19	forced	opus	1	stable-input	blind forced arm
r21	forced	opus	1	sorted-by-field	blind forced arm
r23	forced	opus	1	stable-input	blind forced arm
r24	forced	opus	1	stable-input	blind forced arm
