arm	model	rep	task	verdict	confidence
old	opus	1	round	insufficient_spec	0.85
old	opus	1	quant	insufficient_spec	0.85
old	sonnet	1	round	insufficient_spec	0.92
old	sonnet	1	quant	insufficient_spec	0.90
old	haiku	1	round	passed	0.95
old	haiku	1	quant	passed	0.95
old	opus	2	round	insufficient_spec	0.82
old	opus	2	quant	insufficient_spec	0.82
old	sonnet	2	round	insufficient_spec	0.88
old	sonnet	2	quant	insufficient_spec	0.88
old	haiku	2	round	gaps_found	0.90
old	haiku	2	quant	gaps_found	0.85
new	opus	1	round	insufficient_spec	0.88
new	opus	1	quant	insufficient_spec	0.85
new	sonnet	1	round	insufficient_spec	0.82
new	sonnet	1	quant	insufficient_spec	0.82
new	haiku	1	round	insufficient_spec	0.95
new	haiku	1	quant	insufficient_spec	0.95
new	opus	2	round	insufficient_spec	0.90
new	opus	2	quant	insufficient_spec	0.90
new	sonnet	2	round	insufficient_spec	0.82
new	sonnet	2	quant	insufficient_spec	0.82
new	haiku	2	round	insufficient_spec	0.85
new	haiku	2	quant	insufficient_spec	0.85
