rep	model	condition	task	regime	edgeprobe	verdict	confidence
1	opus	narrow	t1	NI	HIT	passed	0.95
2	opus	narrow	t1	NI	HIT	passed	0.95
3	opus	narrow	t1	NI	HIT	passed	0.95
4	opus	narrow	t1	NI	HIT	passed	0.97
5	opus	narrow	t1	NI	HIT	passed	0.95
1	opus	narrow	t2	NI	HIT	passed	0.85
2	opus	narrow	t2	NI	HIT	passed	0.9
3	opus	narrow	t2	NI	HIT	passed	0.82
4	opus	narrow	t2	NI	HIT	passed	0.9
5	opus	narrow	t2	NI	HIT	passed	0.72
1	opus	narrow	t3	NI	MISS	passed	0.95
2	opus	narrow	t3	NI	MISS	passed	0.95
3	opus	narrow	t3	NI	MISS	passed	0.95
4	opus	narrow	t3	NI	MISS	passed	0.95
5	opus	narrow	t3	NI	MISS	passed	0.9
1	opus	narrow	t4	NI	HIT	passed	0.95
2	opus	narrow	t4	NI	HIT	passed	0.97
3	opus	narrow	t4	NI	HIT	passed	0.93
4	opus	narrow	t4	NI	HIT	passed	0.97
5	opus	narrow	t4	NI	HIT	passed	0.95
1	opus	narrow	t5	INF	INF	gaps_found	0.9
2	opus	narrow	t5	INF	INF	gaps_found	0.85
3	opus	narrow	t5	INF	INF	gaps_found	0.85
4	opus	narrow	t5	INF	INF	gaps_found	0.88
5	opus	narrow	t5	INF	INF	gaps_found	0.92
1	opus	surfaced-unresolved	t1	NI	HIT	passed	0.8
2	opus	surfaced-unresolved	t1	NI	HIT	passed	0.78
3	opus	surfaced-unresolved	t1	NI	HIT	passed	0.86
4	opus	surfaced-unresolved	t1	NI	HIT	passed	0.76
5	opus	surfaced-unresolved	t1	NI	HIT	passed	0.8
1	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.6
2	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.68
3	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.6
4	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.58
5	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.58
1	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.55
2	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.6
3	opus	surfaced-unresolved	t3	NI	MISS	passed	0.8
4	opus	surfaced-unresolved	t3	NI	MISS	passed	0.66
5	opus	surfaced-unresolved	t3	NI	MISS	passed	0.58
1	opus	surfaced-unresolved	t4	NI	HIT	passed	0.65
2	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.6
3	opus	surfaced-unresolved	t4	NI	HIT	passed	0.72
4	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.5
5	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.6
1	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
2	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
3	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
4	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.86
5	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
1	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
2	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.93
3	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.96
4	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
5	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
1	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.97
2	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.97
3	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
4	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
5	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.97
1	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.98
2	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.97
3	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.98
4	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.98
5	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.97
1	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
2	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
3	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
4	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.96
5	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
1	sonnet	narrow	t1	NI	HIT	passed	0.99
2	sonnet	narrow	t1	NI	HIT	passed	0.99
3	sonnet	narrow	t1	NI	HIT	passed	0.97
4	sonnet	narrow	t1	NI	HIT	passed	0.99
5	sonnet	narrow	t1	NI	HIT	passed	0.98
1	sonnet	narrow	t2	NI	HIT	passed	0.9
2	sonnet	narrow	t2	NI	HIT	passed	0.9
3	sonnet	narrow	t2	NI	HIT	passed	0.92
4	sonnet	narrow	t2	NI	HIT	passed	0.95
5	sonnet	narrow	t2	NI	HIT	gaps_found	0.82
1	sonnet	narrow	t3	NI	MISS	passed	0.99
2	sonnet	narrow	t3	NI	MISS	passed	0.99
3	sonnet	narrow	t3	NI	MISS	passed	0.99
4	sonnet	narrow	t3	NI	MISS	passed	0.99
5	sonnet	narrow	t3	NI	MISS	passed	0.99
1	sonnet	narrow	t4	NI	HIT	passed	0.95
2	sonnet	narrow	t4	NI	HIT	passed	0.93
3	sonnet	narrow	t4	NI	HIT	passed	0.96
4	sonnet	narrow	t4	NI	HIT	passed	0.97
5	sonnet	narrow	t4	NI	HIT	passed	0.97
1	sonnet	narrow	t5	INF	INF	gaps_found	0.95
2	sonnet	narrow	t5	INF	INF	gaps_found	0.95
3	sonnet	narrow	t5	INF	INF	gaps_found	0.92
4	sonnet	narrow	t5	INF	INF	gaps_found	0.95
5	sonnet	narrow	t5	INF	INF	gaps_found	0.95
1	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.95
2	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.97
3	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.95
4	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.95
5	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.95
1	sonnet	surfaced-unresolved	t2	NI	HIT	passed	0.9
