rep	model	condition	task	regime	edgeprobe	verdict	confidence
1	opus	narrow	t1	NI	HIT	passed	0.92
1	opus	narrow	t2	NI	HIT	passed	0.85
1	opus	narrow	t3	NI	MISS	passed	0.95
1	opus	narrow	t4	NI	HIT	passed	0.95
1	opus	narrow	t5	INF	INF	gaps_found	0.85
1	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.60
1	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.70
1	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.72
1	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.60
1	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
1	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
1	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.97
1	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.98
1	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
1	sonnet	narrow	t1	NI	HIT	passed	0.97
1	sonnet	narrow	t2	NI	HIT	passed	0.88
1	sonnet	narrow	t3	NI	MISS	passed	0.97
1	sonnet	narrow	t4	NI	HIT	passed	0.82
1	sonnet	narrow	t5	INF	INF	gaps_found	0.95
1	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.93
1	sonnet	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.85
1	sonnet	surfaced-unresolved	t3	NI	MISS	passed	0.90
1	sonnet	surfaced-unresolved	t4	NI	HIT	gaps_found	0.92
1	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
1	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
1	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	0.95
1	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
1	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
1	haiku	narrow	t1	NI	HIT	passed	0.95
1	haiku	narrow	t2	NI	HIT	passed	0.95
1	haiku	narrow	t3	NI	MISS	passed	0.98
1	haiku	narrow	t4	NI	HIT	passed	0.97
1	haiku	narrow	t5	INF	INF	gaps_found	0.92
1	haiku	surfaced-unresolved	t1	NI	HIT	passed	NA
1	haiku	surfaced-unresolved	t2	NI	HIT	gaps_found	NA
1	haiku	surfaced-unresolved	t3	NI	MISS	passed	NA
1	haiku	surfaced-unresolved	t4	NI	HIT	passed	NA
1	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	NA
1	haiku	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
1	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
1	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
1	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.98
2	opus	narrow	t1	NI	HIT	passed	0.92
2	opus	narrow	t2	NI	HIT	passed	0.85
2	opus	narrow	t3	NI	MISS	passed	0.90
2	opus	narrow	t4	NI	HIT	passed	0.95
2	opus	narrow	t5	INF	INF	gaps_found	0.90
2	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.70
2	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.72
2	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.70
2	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.60
2	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
2	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
2	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
2	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.97
2	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
2	sonnet	narrow	t1	NI	HIT	passed	0.97
2	sonnet	narrow	t2	NI	HIT	gaps_found	0.72
2	sonnet	narrow	t3	NI	MISS	passed	0.99
2	sonnet	narrow	t4	NI	HIT	passed	0.97
2	sonnet	narrow	t5	INF	INF	gaps_found	0.95
2	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.92
2	sonnet	surfaced-unresolved	t2	NI	HIT	gaps_found	0.95
2	sonnet	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.88
2	sonnet	surfaced-unresolved	t4	NI	HIT	gaps_found	0.91
2	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.93
2	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
2	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	0.95
2	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
2	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.93
2	haiku	narrow	t1	NI	HIT	passed	0.95
2	haiku	narrow	t2	NI	HIT	passed	0.95
2	haiku	narrow	t3	NI	MISS	passed	0.99
2	haiku	narrow	t4	NI	HIT	passed	0.98
2	haiku	narrow	t5	INF	INF	gaps_found	0.85
2	haiku	surfaced-unresolved	t1	NI	HIT	gaps_found	0.95
2	haiku	surfaced-unresolved	t2	NI	HIT	gaps_found	0.95
2	haiku	surfaced-unresolved	t3	NI	MISS	passed	0.98
2	haiku	surfaced-unresolved	t4	NI	HIT	gaps_found	0.90
2	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	0.92
2	haiku	surfaced-resolved	t1	NI	HIT	passed	0.92
2	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
